,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7052,F36468,484.0,E,2.0,2021-10-21 11:19:43.497,2021-10-21,2021-10-21 00:00:00,2021-11-05,,773.86,0.0,0
7053,F36469,401.0,E,2.0,2021-10-21 12:07:23.947,2021-10-21,2021-10-20 00:00:00,2021-11-05,,1392.0,0.0,0
7054,F36470,3803.0,E,2.0,2021-10-21 12:51:34.323,2021-10-21,2021-10-20 00:00:00,2021-11-20,,5450.0,0.0,0
7055,F36471,8145.0,E,1.0,2021-10-21 13:01:19.650,2021-10-21,2021-10-18 00:00:00,2021-10-21,,24300.000000000004,0.0,0
7056,F36472,8316.0,E,2.0,2021-10-21 13:04:29.287,2021-10-21,2021-10-21 00:00:00,2021-10-21,,9500.0,0.0,0
7057,F36473,5598.0,E,2.0,2021-10-21 13:09:55.180,2021-10-21,2021-10-20 00:00:00,2021-10-21,,1988.8000000000002,0.0,0
7058,F36474,8484.0,E,2.0,2021-10-21 13:42:35.157,2021-10-21,2021-10-21 00:00:00,2021-10-21,,1136.0,0.0,0
7059,F36475,5804.0,E,2.0,2021-10-21 15:09:27.497,2021-10-21,2021-10-18 00:00:00,2021-10-21,,993.0000000000001,0.0,0
7060,F36476,8257.0,E,6.0,2021-10-21 16:22:10.740,2021-10-21,2021-10-21 00:00:00,2021-11-20,,2250.0,0.0,0
7061,F36477,908.0,E,2.0,2021-10-22 08:36:40.917,2021-10-22,2021-10-21 00:00:00,2021-11-06,,1995.5,0.0,0
7062,F36478,8475.0,E,2.0,2021-10-22 08:42:43.017,2021-10-22,2021-10-22 00:00:00,2021-10-22,,2400.0,0.0,0
7063,F36479,1016.0,E,3.0,2021-10-22 09:16:25.793,2021-10-22,2021-10-22 00:00:00,2021-11-21,,4400.0,0.0,0
7064,F36480,8479.0,E,2.0,2021-10-22 10:07:45.477,2021-10-22,2021-10-21 00:00:00,2021-10-22,,302.98,0.0,0
7065,F36481,8482.0,E,2.0,2021-10-22 10:35:37.860,2021-10-22,2021-10-22 00:00:00,2021-10-22,,1416.7,0.0,0
7066,F36482,8196.0,E,2.0,2021-10-22 11:08:55.877,2021-10-22,2021-10-22 00:00:00,2021-10-22,,224.22000000000003,0.0,0
7067,F36483,2357.0,E,2.0,2021-10-22 11:30:30.803,2021-10-22,2021-10-06 00:00:00,2021-10-22,,3552.5000000000005,0.0,0
7068,F36484,8397.0,E,2.0,2021-10-22 12:41:56.257,2021-10-22,2021-10-22 00:00:00,2021-10-22,,587.13,0.0,0
7069,F36485,8408.0,E,3.0,2021-10-22 14:18:15.007,2021-10-22,2021-10-22 00:00:00,2021-10-22,,1352.5,0.0,0
7070,F36486,5926.0,E,2.0,2021-10-22 16:44:22.927,2021-10-22,2021-10-21 00:00:00,2021-10-22,,1856.9900000000002,0.0,0
7071,F36487,5926.0,E,2.0,2021-10-22 16:51:03.963,2021-10-22,2021-10-21 00:00:00,2021-10-22,,377.83000000000004,0.0,0
7072,F36488,5804.0,E,2.0,2021-10-22 16:54:11.273,2021-10-22,2021-10-22 00:00:00,2021-10-22,,920.0000000000001,0.0,0
7073,F36489,6724.0,E,2.0,2021-10-25 09:47:50.857,2021-10-25,2021-10-20 00:00:00,2021-10-25,,210.0,0.0,0
7074,F36490,253.0,E,3.0,2021-10-25 11:13:43.300,2021-10-25,2021-10-25 00:00:00,2021-12-09,,3923.0,0.0,0
7075,F36491,5746.0,E,2.0,2021-10-25 11:59:28.733,2021-10-25,2021-10-25 00:00:00,2021-10-25,,519.5,0.0,0
7076,F36492,6253.0,E,1.0,2021-10-25 15:07:42.990,2021-10-25,2021-10-25 00:00:00,2021-12-24,,9500.0,0.0,0
7077,F36493,8473.0,E,2.0,2021-10-25 16:10:17.437,2021-10-25,2021-10-13 00:00:00,2021-10-25,,1366.75,0.0,0
7078,F36494,8325.0,E,2.0,2021-10-25 16:25:44.893,2021-10-25,2021-10-25 00:00:00,2021-10-25,,300.00000000000006,0.0,0
7079,F36495,5926.0,E,2.0,2021-10-25 17:10:02.337,2021-10-25,2021-10-25 00:00:00,2021-10-25,,1450.6699999999998,0.0,0
7080,F36496,3032.0,E,2.0,2021-10-26 10:25:21.677,2021-10-26,2021-10-26 00:00:00,2021-10-26,,637.5006,0.0,0
7081,F36497,6152.0,E,3.0,2021-10-26 10:46:22.610,2021-10-26,2021-10-20 00:00:00,2021-11-03,,6204.8,0.0,0
7082,F36498,4598.0,E,1.0,2021-10-26 12:30:42.880,2021-10-26,2021-10-25 00:00:00,2021-11-25,,19156.300000000003,0.0,0
7083,F36499,6009.0,E,2.0,2021-10-26 13:41:43.510,2021-10-26,2021-10-26 00:00:00,2021-10-26,,275.88,0.0,0
7084,F36500,4535.0,E,2.0,2021-10-26 14:58:21.210,2021-10-26,2021-10-26 00:00:00,2021-10-26,,1424.5,0.0,0
7085,F36501,4535.0,E,2.0,2021-10-26 14:59:51.780,2021-10-26,2021-10-26 00:00:00,2021-10-26,,1330.0,0.0,0
7086,F36502,5923.0,E,2.0,2021-10-26 15:12:11.573,2021-10-26,2021-10-26 00:00:00,2021-10-26,,570.0,0.0,0
7087,F36503,6890.0,E,2.0,2021-10-26 16:17:25.657,2021-10-26,2021-10-26 00:00:00,2021-10-26,,240.00000000000003,0.0,0
7088,F36504,5926.0,E,2.0,2021-10-27 08:09:16.670,2021-10-27,2021-10-26 00:00:00,2021-10-27,,607.92,0.0,0
7089,F36505,8487.0,E,2.0,2021-10-27 10:31:36.230,2021-10-27,2021-10-27 00:00:00,2021-10-27,,130.0,0.0,0
7090,F36506,8488.0,E,2.0,2021-10-27 10:54:28.350,2021-10-27,2021-10-27 00:00:00,2021-10-27,,115.65220000000002,0.0,0
